"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"1301","極洋","東P","5080","+60.0(+1.20%)","1.20","114,503","1.07","3.24","40.53","0.56","21.06","1.70","61.95"
"1305","ｉＦＴＯＰＩＸ（年１回決算型）","東ETF","3778.0","+12.0(+0.32%)","0.32","1,429,836","-0.78","1.04","58.08","3.18","16.19","0.39","56.35"
"1306","ＮＦ　ＴＯＰＩＸ連動型上場投信","東ETF","3739.0","+10.0(+0.27%)","0.27","4,020,028","-0.83","1.01","58.53","0.50","16.26","0.38","56.10"
"1308","上場インデックスファンドＴＯＰ","東ETF","3693.0","+10.0(+0.27%)","0.27","466,754","-0.81","0.98","58.43","0.36","15.66","0.37","56.18"
"1309","上海株指数・上証５０連動型上場","東ETF","54280.0","+230.0(+0.43%)","0.43","977","-1.46","-1.72","45.33","0.09","15.90","-0.83","39.43"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","488","+9.0(+1.88%)","1.88","700,643","0.74","-1.09","14.02","8.64","75.57","-0.13","52.00"
"1311","ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０","東ETF","1859.0","+1.0(+0.05%)","0.05","29,826","-1.04","0.47","64.51","0.50","19.39","0.16","51.30"
"1320","ｉＦ日経２２５（年１回決算型）","東ETF","55160.0","+450.0(+0.82%)","0.82","1,269,179","0.03","2.25","72.48","0.45","20.59","0.82","57.93"
"1321","ＮＦ日経２２５連動型上場投信","東ETF","55340.0","+360.0(+0.65%)","0.65","15,442,547","-0.05","2.16","72.35","0.77","20.53","0.79","58.24"
"1322","中国Ａ株パンダＣＳＩ３００","東ETF","11175.0","+25.0(+0.22%)","0.22","4,137","-0.97","-0.70","54.82","0.35","14.76","-0.42","41.95"
"1325","ＮＦボベスパ連動型上場投信","東ETF","288.4","-2.5(-0.86%)","-0.86","9,131","0.95","8.97","55.89","0.36","25.39","1.82","72.08"
"1326","ＳＰＤＲゴールド・シェア","東ETF","72040.0","+10.0(+0.01%)","0.01","1,531,688","0.69","8.66","88.04","0.24","22.76","1.83","83.43"
